"fecha";"real";"pred"
2025-02-09;18507,6;20032,5221519584
2025-02-10;22879,7;21174,1903959474
2025-02-11;20243,9;21970,729120319
2025-02-12;18229,8;18707,9872523104
2025-02-13;17989,8;17451,8230062218
2025-02-14;18455,9;18682,2383509058
2025-02-15;16785,6;16726,8958658683
2025-02-16;16196,9;15645,1808665536
2025-02-17;17794,6;16781,1090866399
2025-02-18;15460,1;16588,4511969958
2025-02-19;16888,4;15982,1348767753
2025-02-20;19396,9;17437,9559626208
2025-02-21;22168,6;19944,0701547468
2025-02-22;20625,4;20763,4038040753
2025-02-23;19729,7;20125,7381844388
2025-02-24;20500,5;21554,8184952535
2025-02-25;19297,2;19602,0463493674
2025-02-26;18814,1;19191,2982428466
2025-02-27;18313,9;18103,3374847252
2025-02-28;19033,1;17779,6774285609
2025-03-01;17011,7;16544,3099405704
2025-03-02;15279,4;14735,3095448329
2025-03-03;15656,2;13987,0750708301
2025-03-04;16842,3;14609,7653032994
2025-03-05;21190,7;19149,0485903179
2025-03-06;22740,7;22011,1567686959
2025-03-07;22677,7;22674,184671823
2025-03-08;15140,1;18077,8918287819
2025-03-09;12178,4;13267,3190204555
2025-03-10;14015,8;13491,1133581306
2025-03-11;14821;14400,6883209519
2025-03-12;14387,5;14797,2651995267
2025-03-13;13986,9;14568,71832753
2025-03-14;14009,7;14367,2987423864
2025-03-15;13190,3;12760,6696403701
2025-03-16;12608,6;12939,5550306738
2025-03-17;15226,4;14574,3176055269
2025-03-18;16617,2;16403,4007182731
2025-03-19;17606,4;17441,3566602438
2025-03-20;18013,6;17943,3400991664
2025-03-21;18003,1;18539,9173874069
2025-03-22;15661,7;16093,7135899043
2025-03-23;13166,8;13841,2086231072
2025-03-24;13102;12629,3973663061
2025-03-25;14353,5;14074,9216104881
2025-03-26;15004,7;14932,651324261
2025-03-27;15847,1;16094,6461510755
2025-03-28;15234,4;16173,6820776096
2025-03-29;14110,6;13528,9527538161
2025-03-30;13964,8;13874,5831604807
2025-03-31;13937,2;14352,88520625
2025-04-01;13789,7;14414,0082576569
2025-04-02;12710,4;12649,0275492228
2025-04-03;13789,1;13716,3223010898
2025-04-04;14153,2;14989,6136709982
2025-04-05;13102,6;13049,7469130195
2025-04-06;12164,9;12240,2099820408
2025-04-07;13928,1;13440,1040231008
2025-04-08;14180,8;14375,7435689455
2025-04-09;14086,8;14655,1534290484
2025-04-10;13695,8;14614,3717597025
2025-04-11;14137,5;14768,8271952825
2025-04-12;13030,1;13121,9927202913
2025-04-13;11928,3;12196,6000878425
2025-04-14;13922,5;13354,5572143301
2025-04-15;14374,8;14358,3237334392
2025-04-16;14398,6;14578,2539817074
2025-04-17;14266,5;12896,4747531795
2025-04-18;12802,7;12823,9984257903
2025-04-19;12825,6;12228,4541443076
2025-04-20;12199,1;12359,6629461516
2025-04-21;14095,3;13575,6385301879
2025-04-22;14189,5;14549,2396452998
2025-04-23;14245,2;14996,4215123264
2025-04-24;14357,5;14562,1661088496
2025-04-25;14420,9;14906,2766693849
2025-04-26;13289,8;12906,6449068073
2025-04-27;12443,7;12372,935576552
2025-04-28;14096;13651,8670235551
2025-04-29;14468,8;14508,0526347375
2025-04-30;14219,5;14620,2385306536
2025-05-01;12065,9;12798,9476063951
2025-05-02;13376,2;11752,0349678835
2025-05-03;12903,8;12404,5746214631
2025-05-04;12215,7;12650,6979710864
2025-05-05;14294,4;13465,3100495237
2025-05-06;14529,2;14763,7892240665
2025-05-07;14555,3;14838,8738557188
2025-05-08;14781,6;14672,1562877195
2025-05-09;14405,3;14769,6063162358
2025-05-10;13206,6;12898,7284676169
2025-05-11;12334;12445,6678797602
2025-05-12;14145,1;13547,1043519008
2025-05-13;14544,8;14443,5550682829
2025-05-14;14689,4;14992,0992032341
2025-05-15;14749,6;15012,673826856
2025-05-16;14688,3;14950,7189324865
2025-05-17;13488;13079,529055718
2025-05-18;12453,6;12601,2026440423
2025-05-19;15261,9;14748,1502321073
2025-05-20;16154;16074,6291922665
2025-05-21;16272,1;16099,7018351358
2025-05-22;16338,3;16603,404739078
2025-05-23;16162,2;15989,0663415949
